,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,rank
count,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
mean,0.71646,0.6590600000000001,5.33,-5.677639999999999,0.59,0.11556900000000006,0.19570131999999998,0.0015835864000000002,0.15830199999999997,0.4844429999999997,119.90417999999998,205206.78,3.98,50.5
std,0.1310701423750742,0.14506716103971018,3.6764470112137655,1.7775769429993256,0.4943110704237102,0.10452700554344217,0.2209464421105502,0.013448795073938738,0.11166190037770089,0.2061451637472091,28.795983635973133,40007.893404151895,0.19999999999999993,29.011491975882016
min,0.258,0.29600000000000004,0.0,-10.109,0.0,0.0232,0.00028199999999999997,0.0,0.0215,0.0796,64.934,95467.0,3.0,1.0
25%,0.6355,0.5619999999999999,1.75,-6.6505,0.0,0.04535,0.040225000000000004,0.0,0.09467500000000001,0.34099999999999997,95.73075,184680.0,4.0,25.75
50%,0.7330000000000001,0.678,5.0,-5.5665000000000004,1.0,0.07495,0.10899999999999999,0.0,0.11850000000000001,0.4705,120.116,205047.5,4.0,50.5
75%,0.7982499999999999,0.77225,8.25,-4.36375,1.0,0.137,0.24775,3.0875e-05,0.17075,0.6415,140.02275,221493.25,4.0,75.25
max,0.9640000000000001,0.909,11.0,-2.384,1.0,0.53,0.934,0.134,0.636,0.9309999999999999,198.075,417920.0,5.0,100.0
